ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,0.003119,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-22T21:22:00.397289+00:00
2025-04-28 12:00:00+00:00,-0.000742,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:32:20.983815+00:00
2025-04-29 00:00:00+00:00,0.002706,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:32:20.983815+00:00
2025-04-29 12:00:00+00:00,-0.005193,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-04-30 00:00:00+00:00,0.001398,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-04-30 12:00:00+00:00,0.003498,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-01 00:00:00+00:00,0.005164,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-01 12:00:00+00:00,-0.012285,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-02 00:00:00+00:00,-0.008675,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-02 12:00:00+00:00,-0.005948,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-03 00:00:00+00:00,0.003575,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-03 12:00:00+00:00,0.000381,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-04 00:00:00+00:00,0.001491,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
2025-05-04 12:00:00+00:00,-0.002458,v3,12h,BTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:00:53.127473+00:00
