ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,-34.5889,-29.6721,-0.382,-0.2977,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-23T01:03:55.906718+00:00
2025-04-29 00:00:00+00:00,-29.6691,-29.8812,-0.2977,-0.3044,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-23T01:03:55.906718+00:00
2025-04-29 12:00:00+00:00,-29.8881,-31.8778,-0.3045,-0.3256,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-04-30 00:00:00+00:00,-31.8943,-31.6201,-0.3258,-0.3236,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-04-30 12:00:00+00:00,-31.6103,-37.278,-0.3235,-0.4051,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-01 00:00:00+00:00,-37.2722,-38.0075,-0.405,-0.4334,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-01 12:00:00+00:00,-38.0109,-37.2161,-0.4334,-0.4179,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-02 00:00:00+00:00,-37.2217,-35.5113,-0.418,-0.3886,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-02 12:00:00+00:00,-35.5172,-37.7364,-0.3887,-0.4231,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-03 00:00:00+00:00,-37.7274,-36.6038,-0.423,-0.4018,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-03 12:00:00+00:00,-36.598,-34.0281,-0.4017,-0.3608,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-04 00:00:00+00:00,-34.0281,-35.9807,-0.3608,-0.3878,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-04 12:00:00+00:00,-35.9774,-38.5105,-0.3878,-0.4235,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-05 00:00:00+00:00,-38.5049,-37.0518,-0.4234,-0.3906,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-05 12:00:00+00:00,-37.0518,-38.5372,-0.3906,-0.4152,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-06 00:00:00+00:00,-38.5465,-40.9997,-0.4153,-0.4503,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-06 12:00:00+00:00,-40.9944,-35.4535,-0.4502,-0.3729,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-07 00:00:00+00:00,-35.4535,-34.9371,-0.3729,-0.3667,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-07 12:00:00+00:00,-34.9276,-30.6302,-0.3666,-0.2965,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-08 00:00:00+00:00,-30.6127,-26.9996,-0.2963,-0.266,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-08 12:00:00+00:00,-26.9969,-12.5994,-0.266,-0.1109,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-09 00:00:00+00:00,-12.588,4.1847,-0.1108,0.0319,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-09 12:00:00+00:00,4.1585,-18.0995,0.0317,-0.1718,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-10 00:00:00+00:00,-18.11,-17.763,-0.1719,-0.1704,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-10 12:00:00+00:00,-17.7734,-7.0955,-0.1705,-0.0642,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-11 00:00:00+00:00,-7.0955,-11.8627,-0.0642,-0.1082,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-11 12:00:00+00:00,-11.8627,-8.7995,-0.1082,-0.0777,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-12 00:00:00+00:00,-8.7882,-7.8462,-0.0776,-0.0702,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-12 12:00:00+00:00,-7.8471,-11.7806,-0.0702,-0.1091,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-13 00:00:00+00:00,-11.8009,-11.5785,-0.1093,-0.1046,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-13 12:00:00+00:00,-11.5883,-11.2881,-0.1047,-0.1056,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
2025-05-14 00:00:00+00:00,-11.2679,-9.8803,-0.1054,-0.09,v4,symbol_interval,12h,ADA,basis,futures/basis/history,2026-04-24T04:21:13.984005+00:00
