ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,31.27,0.0334,93780.56,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-22T21:29:06.543193+00:00
2025-04-28 12:00:00+00:00,43.14,0.0453,95363.13,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-23T01:04:08.630653+00:00
2025-04-29 00:00:00+00:00,31.37,0.033,95042.55,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-23T01:04:08.630653+00:00
2025-04-29 12:00:00+00:00,32.1,0.0337,95161.84,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-04-30 00:00:00+00:00,14.26,0.0151,94271.08,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-04-30 12:00:00+00:00,34.35,0.0361,95211.01,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-01 00:00:00+00:00,10.55,0.0112,94182.55,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-01 12:00:00+00:00,24.4,0.0254,96204.41,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-02 00:00:00+00:00,35.08,0.0364,96524.98,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-02 12:00:00+00:00,35.57,0.0367,96964.54,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-03 00:00:00+00:00,42.68,0.0441,96929.81,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-03 12:00:00+00:00,28.16,0.0294,95970.17,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-04 00:00:00+00:00,9.23,0.0096,95865.65,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-04 12:00:00+00:00,10.24,0.0107,95433.43,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-05 00:00:00+00:00,-5.07,-0.0054,94272.54,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-05 12:00:00+00:00,-1.06,-0.0011,94037.13,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-06 00:00:00+00:00,0.57,0.0006,94734.25,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-06 12:00:00+00:00,-19.36,-0.0206,93793.17,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-07 00:00:00+00:00,10.66,0.011,96844.68,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-07 12:00:00+00:00,24.38,0.0251,97071.81,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-08 00:00:00+00:00,27.83,0.0287,97058.33,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-08 12:00:00+00:00,15.73,0.0158,99424.88,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-09 00:00:00+00:00,-9.41,-0.0091,103252.2,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-09 12:00:00+00:00,-14.33,-0.0139,102943.98,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-10 00:00:00+00:00,10.04,0.0098,102982.03,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-10 12:00:00+00:00,5.38,0.0052,103440.32,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-11 00:00:00+00:00,8.26,0.0079,104817.79,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-11 12:00:00+00:00,13.27,0.0127,104665.28,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-12 00:00:00+00:00,19.58,0.0188,104137.58,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-12 12:00:00+00:00,-32.11,-0.0309,103730.78,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-13 00:00:00+00:00,8.9,0.0087,102800.22,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-13 12:00:00+00:00,19.13,0.0184,103748.33,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-14 00:00:00+00:00,27.48,0.0264,104131.2,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-14 12:00:00+00:00,10.75,0.0103,103955.68,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-15 00:00:00+00:00,33.08,0.032,103540.91,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-15 12:00:00+00:00,30.32,0.0296,102401.94,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-16 00:00:00+00:00,22.69,0.0219,103786.4,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-16 12:00:00+00:00,57.96,0.0559,103709.68,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-17 00:00:00+00:00,36.13,0.0349,103500.03,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-17 12:00:00+00:00,27.02,0.0262,103021.2,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-18 00:00:00+00:00,35.88,0.0348,103162.53,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-18 12:00:00+00:00,35.0,0.0337,103835.55,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-19 00:00:00+00:00,34.51,0.0324,106488.78,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-19 12:00:00+00:00,15.61,0.0152,102979.01,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-20 00:00:00+00:00,42.48,0.0402,105616.21,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
2025-05-20 12:00:00+00:00,37.85,0.036,105241.6,v4,symbol_interval,12h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:21:41.557748+00:00
