exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,SUI,461449964.7838,489431704.6106,8773340.71,452676624.07,9290753.9099,480140950.7007,-0.2,-0.31,-0.23,-1.1,-3.43,1.37,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Binance,SUI,87521873.39995,92838967.78,2499770.0,85022103.39995,2650588.48,90188379.3,0.06,-0.2,-0.23,-0.53,-2.81,1.54,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
KuCoin,SUI,74085999.1466,78504773.46,265175.0,73820824.1466,274451.46,78230322.0,0.0,-0.12,-0.05,0.09,-2.84,4.69,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Bitget,SUI,62461335.23339,66259935.6,1000732.05484,61460603.17855,1060546.9,65199388.7,-0.08,-0.12,-0.15,-2.68,-3.97,10.77,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Bybit,SUI,61014199.23,64736009.99,1196686.0,59817513.23,1269423.99,63466586.0,-0.04,-0.14,-0.11,-0.84,-4.01,1.35,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
LBank,SUI,28961597.53674,30721966.2,0.0,28961597.53674,0.0,30721966.2,-0.02,-0.12,-0.26,0.03,-0.18,-0.19,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
MEXC,SUI,28235203.3641,29947864.0236,642220.0,27592983.3641,680967.0236,29266897.0,-0.04,-0.22,1.3,2.67,3.15,-3.97,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
OKX,SUI,28208046.9544,29936769.841619845,1391290.0,26816756.9544,1474917.8416198452,28461852.0,-0.08,-0.18,-0.18,-0.96,-2.9,6.11,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
BingX,SUI,23545661.56045422,24979635.1454,355146.46045422,23190515.1,376773.2447,24602861.9007,-3.5,-3.06,-3.22,-10.87,-20.42,-22.49,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
WhiteBIT,SUI,20351928.63214,21600433.7,0.0,20351928.63214,0.0,21600433.7,0.0,-0.13,-0.21,-0.87,-2.98,2.35,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Hyperliquid,SUI,15706388.919936001,16657180.8,0.0,15706388.919936001,0.0,16657180.8,-0.04,-0.12,-0.22,1.63,8.74,1.85,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Gate,SUI,12840446.9402,13620926.0,0.0,12840446.9402,0.0,13620926.0,0.0,-0.11,0.43,0.78,-1.26,-4.27,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Bitunix,SUI,7614615.8073,8077348.2,259387.238,7355228.5693,275066.0,7802282.2,-0.25,-0.16,-0.73,-3.8,-10.19,11.91,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Kraken,SUI,2822517.0792,2991222.0,0.0,2822517.0792,0.0,2991222.0,-0.07,-0.23,-0.11,-0.64,-2.4,-3.21,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Bitmex,SUI,1773416.0255072,1875127.37,1162933.9609472,610482.06456,1228018.97,647108.4,0.0,-0.19,-0.13,-0.2,-1.76,0.7,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Lighter,SUI,1553015.236352,1647516.8,0.0,1553015.236352,0.0,1647516.8,-0.04,-2.05,-2.0,-3.66,-4.75,6.77,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
CoinEx,SUI,1522217.87,1614040.0,0.0,1522217.87,0.0,1614040.0,-0.01,-0.16,-0.12,0.76,0.83,15.9,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Coinbase,SUI,1292409.2448,1366905.6,0.0,1292409.2448,0.0,1366905.6,0.06,0.78,0.76,10.19,5.41,2.87,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
HTX,SUI,929864.784,986280.0,0.0,929864.784,0.0,986280.0,-0.29,-0.99,-1.09,-1.32,0.38,-3.29,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Crypto.com,SUI,499223.91177,528039.0,0.0,499223.91177,0.0,528039.0,0.0,0.0,0.26,0.25,-0.87,-1.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
Aster,SUI,362557.40199,384513.1,0.0,362557.40199,0.0,384513.1,0.0,0.0,-0.29,-0.83,-1.78,-13.68,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
dYdX,SUI,147446.505,156250.0,0.0,147446.505,0.0,156250.0,-0.06,-0.15,-0.08,-0.04,-2.73,0.3,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:33.575077+00:00
All,SUI,465571176.2206,495457446.7068,8897394.32,456673781.9,9456242.1244,486001204.5824,-0.35,0.13,0.11,0.03,-0.09,0.71,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Binance,SUI,88385369.65074,94064925.71,2540370.0,85844999.65074,2702808.81,91362116.9,-0.28,1.04,0.88,0.88,0.75,0.13,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
KuCoin,SUI,76170549.9502,81009355.58,268577.0,75901972.9502,286451.58,80722904.0,-0.33,-0.14,-0.32,-0.37,-0.56,3.19,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Bybit,SUI,61967937.36,65942170.23,1188560.0,60779377.36,1263081.83,64679088.4,-0.26,0.49,0.55,-0.16,-0.71,2.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Bitget,SUI,58899389.68562,62684024.1,995202.4469,57904187.23872,1057600.9,61626423.2,-0.6,-0.35,-0.05,0.05,-1.7,-4.39,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
MEXC,SUI,30852775.0157,32835516.3764,679750.0,30173025.0157,723061.3764,32112455.0,-0.5,-0.62,-0.84,-0.52,-9.48,2.03,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
LBank,SUI,28955172.87318,30813209.4,0.0,28955172.87318,0.0,30813209.4,-0.2,-0.22,-0.15,0.13,-0.2,-0.17,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
OKX,SUI,26909814.0672,28650561.74468085,1417610.0,25492204.0672,1508095.744680851,27142466.0,-0.23,-0.18,-0.13,-0.47,-0.52,-4.4,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
BingX,SUI,25167355.26374535,26793477.9957,387766.89374535,24779588.37,412737.5133,26380740.4824,-0.21,-0.22,-0.13,-0.53,17.69,7.72,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
WhiteBIT,SUI,20260007.61202,21592249.4,0.0,20260007.61202,0.0,21592249.4,-0.32,0.82,0.66,0.56,0.5,-0.79,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Hyperliquid,SUI,16249054.580752002,17293403.200000003,0.0,16249054.580752002,0.0,17293403.200000003,-0.16,0.21,0.5,1.64,2.37,4.02,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Gate,SUI,14363865.608,15283960.0,0.0,14363865.608,0.0,15283960.0,-0.24,-0.36,-0.3,-0.85,-1.23,11.42,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Bitunix,SUI,7079582.69333,7535236.7,278259.7116,6801322.98173,295958.0,7239278.7,-1.61,-0.82,-0.53,-0.1,1.23,-5.1,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Kraken,SUI,2704485.3,2876500.0,0.0,2704485.3,0.0,2876500.0,-0.38,-0.23,-0.25,-0.01,-0.5,-4.95,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Bitmex,SUI,1794893.73046216,1901834.67,1141298.26729216,653595.46317,1206446.37,695388.3,-0.43,-0.39,-0.4,-0.49,-1.27,2.13,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Lighter,SUI,1323539.03205,1408215.0,0.0,1323539.03205,0.0,1408215.0,-0.21,-0.28,-0.06,-0.06,-0.6,-13.95,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
CoinEx,SUI,1320689.8065,1405565.0,0.0,1320689.8065,0.0,1405565.0,-0.26,-0.71,-0.88,-0.85,-0.66,-7.18,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Coinbase,SUI,1246368.6136,1323671.0,0.0,1246368.6136,0.0,1323671.0,0.0,-0.28,-0.41,-4.34,10.21,-1.02,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
HTX,SUI,865007.9746,920809.0,0.0,865007.9746,0.0,920809.0,-0.33,-0.87,-0.89,-2.48,1.59,-4.21,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Crypto.com,SUI,519971.1902,553102.0,0.0,519971.1902,0.0,553102.0,-0.11,3.33,3.28,3.17,2.71,4.19,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
Aster,SUI,391019.5242,416199.6,0.0,391019.5242,0.0,416199.6,-0.18,-0.56,-0.61,-0.72,-2.62,3.98,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
dYdX,SUI,144326.688497438,153460.0,0.0,144326.688497438,0.0,153460.0,-0.27,-0.23,-0.24,-0.33,-0.83,-0.9,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:33.738373+00:00
