ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2024-09-20 00:00:00+00:00,2900000.0,2464.55,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-23 00:00:00+00:00,-79300000.0,2579.95,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-24 00:00:00+00:00,62500000.0,2645.84,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-25 00:00:00+00:00,43200000.0,2652.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-26 00:00:00+00:00,-100000.0,2578.9,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-27 00:00:00+00:00,58700000.0,2631.16,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-09-30 00:00:00+00:00,-800000.0,2656.3,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-01 00:00:00+00:00,-48600000.0,2601.49,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-02 00:00:00+00:00,19800000.0,2446.85,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-03 00:00:00+00:00,-3200000.0,2363.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-04 00:00:00+00:00,7400000.0,2348.74,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-07 00:00:00+00:00,0.0,2438.76,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-08 00:00:00+00:00,-8100000.0,2421.75,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-09 00:00:00+00:00,0.0,2439.84,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
