ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-13 04:00:00+00:00,-24.01,-0.0235,102106.2,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-13 08:00:00+00:00,-26.46,-0.0256,103449.2,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-13 12:00:00+00:00,-29.96,-0.0291,102906.53,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-13 16:00:00+00:00,-50.3,-0.0496,101332.33,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-13 20:00:00+00:00,-82.4,-0.0835,98599.73,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 00:00:00+00:00,-81.54,-0.0818,99610.49,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 04:00:00+00:00,-43.99,-0.0444,99095.39,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 08:00:00+00:00,-58.03,-0.0597,97093.94,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 12:00:00+00:00,-42.97,-0.0447,96124.48,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 16:00:00+00:00,-51.28,-0.053,96744.86,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-14 20:00:00+00:00,-66.3,-0.0692,95712.0,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 00:00:00+00:00,-94.07,-0.0994,94499.93,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 04:00:00+00:00,-67.6,-0.0701,96349.52,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 08:00:00+00:00,-66.83,-0.0694,96267.04,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 12:00:00+00:00,-70.47,-0.0736,95626.39,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 16:00:00+00:00,-59.99,-0.0623,96200.0,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-15 20:00:00+00:00,-65.95,-0.0687,95946.06,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-16 00:00:00+00:00,-51.29,-0.0537,95544.94,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-16 04:00:00+00:00,-75.29,-0.0786,95749.73,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-16 08:00:00+00:00,-81.88,-0.0852,96018.1,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
2025-11-16 12:00:00+00:00,-57.63,-0.0603,95569.5,v4,symbol_interval,4h,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:12:21.737224+00:00
