ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.011045,0.012296,0.005846,0.010649,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:15.345429+00:00
2023-07-30 00:00:00+00:00,0.010649,0.014382,0.006925,0.007924,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-07-31 00:00:00+00:00,0.007924,0.011418,-0.000529,0.009244,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-01 00:00:00+00:00,0.009244,0.0137,0.001266,0.010604,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-02 00:00:00+00:00,0.010604,0.011535,-0.001893,0.01062,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-03 00:00:00+00:00,0.01062,0.011642,-0.001086,-0.000993,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-04 00:00:00+00:00,-0.000993,0.009624,-0.001556,0.009065,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-05 00:00:00+00:00,0.009065,0.011865,0.006757,0.008389,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-06 00:00:00+00:00,0.008389,0.011546,0.004209,0.009346,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-07 00:00:00+00:00,0.009346,0.014226,0.000457,0.005303,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-08 00:00:00+00:00,0.005303,0.013673,0.004702,0.008881,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-09 00:00:00+00:00,0.008881,0.013819,0.003032,0.010182,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-10 00:00:00+00:00,0.010182,0.013516,0.006347,0.00849,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-11 00:00:00+00:00,0.00849,0.013863,0.005712,0.012009,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-12 00:00:00+00:00,0.012009,0.012009,0.005264,0.005404,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-13 00:00:00+00:00,0.005404,0.012478,0.004418,0.00684,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-14 00:00:00+00:00,0.00684,0.01162,-8.3e-05,0.009103,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-15 00:00:00+00:00,0.009103,0.012352,-0.015684,-0.013811,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-16 00:00:00+00:00,-0.013811,0.007931,-0.022827,-0.022827,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-17 00:00:00+00:00,-0.022827,0.010533,-0.06485,-0.061802,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-18 00:00:00+00:00,-0.061802,0.012753,-0.069451,-0.001185,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
2023-08-19 00:00:00+00:00,-0.001185,0.000527,-0.018591,-0.000383,v4,symbol_interval,1d,ADA,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:49.603144+00:00
