ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-09-01 00:00:00+00:00,-9.26,-0.0357,25931.51,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-02 00:00:00+00:00,-9.43,-0.0365,25795.61,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-03 00:00:00+00:00,-1.7,-0.0066,25867.82,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-04 00:00:00+00:00,-1.38,-0.0053,25969.83,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-05 00:00:00+00:00,-9.89,-0.0383,25816.14,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-06 00:00:00+00:00,-9.62,-0.0373,25782.49,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-07 00:00:00+00:00,-12.32,-0.0478,25747.63,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-08 00:00:00+00:00,21.38,0.0814,26276.38,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-09 00:00:00+00:00,-4.17,-0.0161,25906.33,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-10 00:00:00+00:00,-3.78,-0.0146,25897.82,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-11 00:00:00+00:00,-9.83,-0.038,25831.77,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-12 00:00:00+00:00,-10.4,-0.0413,25152.13,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-13 00:00:00+00:00,-0.15,-0.0006,25839.95,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-14 00:00:00+00:00,5.16,0.0197,26227.16,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
